smiles,Delta_Gibbs
CC1=C(C=C(C=C1)OC(=O)C2=CC=CC=C2)C,-4.9
CC1=CC(=CC=C1)C(=O)OC2=CC=CC=C2,-4.6
C1=CC=C(C=C1)SC(=O)C2=CC=C(C=C2)Cl,-4.5
C1=CC=C(C=C1)C=NC2=CC=C(C=C2)F,-4.6
C1=CC=C(C=C1)C(=O)SC2=CC=C(C=C2)Cl,-4.4
C1=CC=C(C=C1)OCC2=CC=C(C=C2)Cl,-4.3
C1=CC=C(C=C1)C(C(C2=CC=CC=C2)F)F,-4.7
CC1=CC=C(C=C1)C#CC2=CC=CS2,-4.2
CC1=CC=C(C=C1)C#CC2=CC=CC=N2,-4.5
CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)F,-4.6
CC1=CC(=C(C(=C1)C)CC(=O)C2=CC=CC=C2)C,-4.7
CC1=CC=CC=C1C2=NC3=CC=CC=C3O2,-5.0
CN(C1=CC=CC=C1)C(=O)C2=C(C=C(C=C2)Cl)Cl,-4.5
CC1=CC=C(C=C1)/C=C/C2=CC=CS2,-4.3
CC1=CC=CC=C1C#CC2=CC=CC=C2C,-4.9
C1C2=CC=CC=C2C=C1C3=CC=CS3,-4.5
C1=CC=C2C=C(C=CC2=C1)C3=CC=CC=C3F,-5.4
CC1=C(C(=NC=C1)OCC2=CC=CC=C2)Br,-4.5
C1=CC=C(C=C1)SS(=O)C2=CC=CC=C2,-4.2
CC1=C(C=CC(=C1)Cl)OC(=O)C2=CC=CC=C2Cl,-4.5
C1=CC=C(C=C1)C2=NC3=C(O2)C=CC(=C3)Cl,-4.8
CC1=CC=CC=C1C(=S)NC2=CC=CC=C2,-4.5
CC1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)F,-5.1
CC1=NC(=CS1)CSC2=CC=C(C=C2)Br,-3.9
C1=CC=C(C=C1)/C=C/C2=CC(=CC=C2)F,-4.9
C1=CC=C(C=C1)C2=NC3=C(O2)C=C(C=C3)Cl,-4.7
CC1=CC=CC=C1OC(=O)C2=CC(=CC=C2)Cl,-4.7
CC1=CC=CC=C1C(=O)OC2=CC=CC=C2C,-4.3
C1=CC=C(C=C1)/C(=C/C2=CC=CS2)/C#N,-4.2
C1=CC(=CC=C1CSC2=CC=C(C=C2)Cl)F,-4.4
CC1=CC(=CN=C1OCC2=CC=CC=C2)I,-4.3
CC1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)CCl,-5.1
C1=CC=C(C=C1)C#CC2=CC=CC=C2Cl,-4.8
C1=CC=C(C=C1)C(=NC2=CC=CC=C2)C#N,-4.0
C1=CC=C(C=C1)/C=C/C2=COC=C2,-4.3
CC1CCCC(C1)OOC2CCCC(C2)C,-4.5
CC1=CC=C(C=C1)C(=O)OC2CCCCC2,-4.5
C1=CC=C(C=C1)/C=C/C2=CC(=CC=C2)C#N,-4.9
C1=CC=C(C=C1)C#CC2=CC=CC=C2I,-4.7
C1CCC(CC1)OC2=NC3=CC=CC=C3O2,-4.4
CSC(=NC1=CC=CC=C1)C2=CC=CC=C2,-4.4
CC1=CC=C(C=C1)C(=S)NC2=CC=CC=C2,-4.7
CC1=CC=C(C=C1)NC(=S)C2=CC=CC=C2,-4.6
C1=CC=C(C=C1)C2=NC3=C(O2)C(=CC=C3)Cl,-4.7
C1=CC=C(C=C1)CSC2=CC(=CC=C2)Br,-4.4
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2Cl,-4.8
C1=CC=C(C=C1)COC2=CC=CC=C2Cl,-4.0
C1=CC=C(C=C1)C(C#N)SC2=CC=CC=C2,-4.3
C1=CC=C(C=C1)NS(=O)C2=CC=C(C=C2)Cl,-4.5
CCOC1CC(=C1C#CC2=CC=CC=C2)C,-4.2
CN(C1=CC=CC=C1)C(=S)C2=CC=C(C=C2)Cl,-4.7
C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)Cl,-4.5
C1=CC=C(C=C1)OC(=O)C2=CC(=CC=C2)F,-4.5
C1=CC=C(C=C1)C(C(C2=CC=CC=C2)Cl)Cl,-4.5
C1=CC=C(C=C1)C=CC2=CC=CS2,-4.3
C1CCC(C1)SSC2CCCC2,-3.2
C1=CC=C(C=C1)NSC2=CC=CC=C2,-4.2
CC1=CC=C(C=C1)C=NC2=CC=C(C=C2)C,-4.6
CC1=CC(=CC=C1)N(C)CC2=CC=CC=C2,-4.4
C1=CC=C(C=C1)N=CC2=C(C=CC=C2Cl)Cl,-4.4
C1=CC=C(C=C1)/C(=C/C2=CC=CC=C2Cl)/C#N,-4.7
CC1=CC(=C(C=C1)OC(=O)C2=CC=C(C=C2)Cl)C,-4.4
C1=CC=C(C=C1)CCC2=CC=C(C=C2)C#N,-4.6
CC1=CC(=C(C=C1)C)OC(=O)C2=CC=CC=C2F,-4.9
CC1=C(C(=CC=C1)OC(=O)C2=CC=CC=C2C)C,-4.6
CC1=C(C(=CC=C1)OC(=O)C2=CC=C(C=C2)F)C,-5.2
C1=CC=C(C=C1)C(=S)NC2=CC(=C(C=C2)Cl)Cl,-4.7
CC1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,-4.5
CC(C1=CC=CC=C1)C(C)C2=CC=CC=C2,-5.1
C1=CC(=CC=C1C(=O)OC2=CC=C(C=C2)Cl)Cl,-4.4
C1=CC=C(C=C1)NC(=S)C2=CC=C(C=C2)F,-4.5
CC1=CC=C(C=C1)NS(=O)C2=CC=CC=C2,-4.4
CC1=CC(=CC=C1)C(=O)OC2=CC=CC=C2C,-4.6
COC1=CC=CC=C1C=CC2=CC=CC=C2,-4.6
CC1=CC=C(C=C1)OC(=O)C2=CC=CS2,-4.2
CC(=O)C1=CC=C(C=C1)/C=C/C2=CC=CC=C2,-4.9
CC1=C(C=C(C=C1)F)NC(=O)C2=CC(=CC=C2)F,-5.1
C=CC1=CC=CC=C1C=CC2=CC=CC=C2,-4.8
C1=CC=C(C=C1)C2=CC3=C(C=C2)SC=C3,-4.8
C1=CC=C(C=C1)SCC2=C(C=CC(=C2)F)Br,-4.4
C1=CC(=CC(=C1)SCC2=CC(=C(C=C2)F)Cl)F,-4.5
C1=CC(=CC=C1CSC2=CC(=C(C=C2)Cl)F)F,-4.4
C1CCC(C1)OCC2=C(C=CC(=C2)F)S,-3.8
C1=CC(=CC(=C1)SCC2=C(C=C(C=C2)F)Cl)F,-4.5
C1=CSC(=CC=C2SC=CS2)S1,-2.9
C1=CSC(=C1)C=CC2=CC=CS2,-3.6
C1=CC=C(C=C1)C(=S)NC2=CC=CC=C2Cl,-4.5
CC1=C(C=CO1)SSC2CCCCC2,-3.8
C1=CC=C(C=C1)C(=O)OC2=CC(=CC=C2)Cl,-4.5
CCOC(=NC1=CC=CC=C1)C2=CC=CC=C2,-4.6
C#CC1=CC=CC=C1C#CC2=CC=CC=C2,-4.8
C1=CC=C(C=C1)SCC2=CC=CC=C2Br,-4.2
C1=CC=C(C(=C1)CSC2=CC=CC(=C2)F)Br,-4.4
CC1=CC2=C(C=C1)OC(=N2)C3=CC=CS3,-4.5
CC1=CC=C(C=C1)C(=S)NC2=CC=C(C=C2)C,-4.9
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)Cl)N,-4.6
CC(C1=CC=CC=C1)N(C)C2=CC=CC=C2,-4.5
CC(=NC1=CC=CC=C1)C2=CC=CS2,-4.3
C1=CC(=CC(=C1)Cl)OC(=O)C2=CC=C(C=C2)Cl,-4.7
C1=CC=C(C=C1)OCC2=CC(=CC=C2)Cl,-4.4
CC1=C(C(=CC=C1)Cl)OCC2=CC=CC=C2,-4.3
C1=CC=C(C=C1)/C(=C/C2=CC=C(C=C2)Cl)/C#N,-4.9
C1=CC=C(C=C1)S(=O)CC2=CC=C(C=C2)Cl,-4.4
CC1=CC(=CC(=C1)C(=O)OC2=CC=CC=C2)C,-4.8
C1CC2CC1CC2COC(=O)C3=CC=CC=C3,-4.4
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2Cl,-4.4
C1=CC=C(C(=C1)N=CC2=CC=CS2)S,-3.7
CC1=CC=C(C=C1)C(=S)NC2=CC=C(C=C2)Cl,-4.8
CC1=CC=C(C=C1)NC(=S)C2=CC=C(C=C2)Cl,-4.8
C1CCC(C1)CCC2=CC=C(C=C2)F,-4.2
CC1=CC=C(C=C1)NS(=O)C2=CC=C(C=C2)C,-4.5
C1=CC(=CC=C1CC(=O)C2=CC=C(C=C2)Br)Cl,-4.6
C1=CC=C(C=C1)SCC2=CC(=CC=C2)Cl,-4.3
C1=CC(=CC=C1CSC2=CC=C(C=C2)F)F,-4.3
C1=CC(=CC=C1F)SCC2=CC(=C(C=C2)Cl)F,-4.4
C1=CC=C(C(=C1)CSC2=CC(=CC(=C2)F)Cl)F,-4.6
C1=CC(=CC(=C1)SCC2=CC=C(C=C2)F)F,-4.4
C1=CC(=CC(=C1)Cl)SCC2=CC(=CC(=C2)F)F,-4.6
C1=CC=C(C(=C1)CSC2=CC(=CC=C2)Cl)F,-4.4
C1=CC(=CC=C1CSC2=CC(=CC(=C2)F)F)F,-4.7
C1=CC=C(C=C1)SCC2=CC(=C(C=C2)F)Cl,-4.5
C1=CC(=CC(=C1)SCC2=C(C(=CC=C2)Cl)F)F,-4.6
C1CCC(CC1)OCC2=C(C=C(C=C2)S)F,-4.3
C1=CC(=CC(=C1)SCC2=C(C=C(C=C2)Cl)F)F,-4.6
C1=CC=C(C(=C1)C=NC2=CC=C(C=C2)Cl)Cl,-4.6
CC1=CC(=CC(=C1)OCC2=CC=CC=C2)C,-4.6
C1=CC=C(C=C1)CN=CC2=CC=CS2,-3.8
C1=CC=C(C=C1)COC2=CC(=CC(=C2)Cl)Cl,-4.5
C1=CC=C(C=C1)C=NC2=CC=CC=C2F,-4.7
CC1=C(C(=CC=C1)C)C#CC2=CC=CC=C2,-4.7
C1=CC=C(C=C1)C=CC2=CC=CC=C2Cl,-4.8
C1=CC=C(C=C1)N=CC2=CC=CS2,-4.0
C1=CC=C(C=C1)C=CC2=CC=CC=C2C#N,-4.9
CC1=CC=CC=C1C=CC2=CC=CC=C2,-4.9
CC1=CC=CC=C1SCC2=CC=CC=C2,-4.0
CC1=CC=C(C=C1)C=NC2CCCCC2,-4.4
CC1=CC(=CC(=C1)C#CC2=CC=CC=C2)C,-5.1
CC1=CC(=CC=C1)OC(=O)C2=CC=CS2,-4.3
C1=CSC(=C1)C(=O)OC2=CC=C(C=C2)Cl,-4.0
C1=CC=C(C=C1)SCC2=CC=C(C=C2)C=O,-4.3
CC1=CC=C(C=C1)SS(=O)C2=CC=CC=C2,-4.4
C1=CC=C(C=C1)C(=O)OCC2=CC=C(C=C2)F,-4.6
CC1=CC(=CC=C1)OC(=O)C2=CC=C(C=C2)F,-5.0
C1=CC(=CC=C1C2=NC3=C(O2)C=CC(=C3)Cl)F,-5.0
CC1=CC2=C(C=C1)OC(=N2)C3=CC=CC=C3C,-5.1
C1CC=CC(C1)COC(=O)C2CCC=CC2,-3.5
CC1=CC=C(C=C1)S(=O)CC2=CC=CC=C2,-4.6
C1=CC=C(C=C1)N=CC2=C(C=C(C=C2)Cl)Cl,-4.5
CC1=C(C=CO1)SSC2=CC=CS2,-3.4
CC1=CC=CC=C1C(=O)SC2=CC=C(C=C2)Cl,-4.2
CC1=C(C(=CC=C1)C)N=CC2=CC=CC=C2F,-4.9
CC1=CC=C(C=C1)N=C(C)C2=CC=C(C=C2)F,-4.7
C1=CC(=C(C(=C1)F)CSC2=CC=C(C=C2)Cl)F,-4.5
C1CCC(C1)OCC2=C(C=C(C=C2)S)F,-4.0
C1=CC(=CC=C1F)SCC2=CC(=CC(=C2)F)F,-4.6
C1=CC=C(C(=C1)CSC2=CC(=C(C=C2)Cl)F)F,-4.5
C1=CSC(=C1)/C=C(\C#N)/C2=CC=C(C=C2)F,-4.2
CC1=CC=C(C=C1)SS(=O)C2=CC=C(C=C2)C,-4.2
CC1=CC=CC=C1C=NC2=CC=CC=C2,-4.6
C1=CC=C2C(=C1)N=C(O2)C3=CC(=CC(=C3)Cl)Cl,-4.9
C1=CSC(=C1)CSCC2=CC=CS2,-3.1
C1=CC=C(C=C1)/[13CH]=[13CH]/C2=CC=CC=C2,-4.8
C1=CC=C(C=C1)C=CC2=CC=CC=C2,-4.8
C1=CC=C(C(=C1)C(=O)CC2=CC=C(C=C2)Cl)Cl,-4.3
CC1C2=CC=CC=C2C=C1C3=CC=CC=C3,-5.5
C1=CC=C(C=C1)/C=C(/C2=CC=CC=C2)\Cl,-5.0
CC1=CC=C(C=C1)SSC2=CC=CC=C2,-4.3
C1=CC(=CC=C1CC(C2=CC=C(C=C2)Cl)O)Cl,-4.8
CC1=CC=CC=C1C(=O)OC2=CC(=CC(=C2)C)C,-4.9
COC1=CC=CC(=C1)C=CC2=CC=CC=C2,-4.9
C1CCC(CC1)SCC(=O)C2=CC=CC=C2,-4.2
C1CCC(CC1)C#CC2=CC=CC=C2,-4.5
COC1=CC=CC=C1SCC2=CC=CC=C2,-4.1
C[C@@H]1CCCC(=C)[C@]1(C)CCC2=COC=C2,-4.3
C1=CC(=CC=C1CSC2=CSC=C2)Br,-3.7
CC(=O)C1=CC=CC(=C1)/C=C/C2=CC=CC=C2,-5.0
CC1=C(C=C(C=C1)Cl)NC(=O)C2CCCCC2,-4.9
COC(=NC1=CC=CC=C1)C2=CC=CC=C2,-4.5
C=C(CC1=CC=CC=C1)C2=CC=CC=C2,-4.7
C1=CSC=C1C#CC2=CSC=C2,-3.7
CC1=CC=CC=C1NC(=S)C2=CC=CC=C2,-4.6
C1=CC=C(C=C1)/C=C(\C#N)/C2=CC(=CC=C2)F,-4.9
CN(CC1=CC=CC=C1)C2=CC=CS2,-3.9
C1=CC(=C(C=C1F)F)CSC2=CC(=CC(=C2)F)F,-4.8
CC1=C(C=C(C=C1)C(=O)OC2=CC=CC=C2)C,-4.7
C1=CSC=C1/C=C/C2=CSC=C2,-3.7
CC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)F)F,-5.1
C1=CC=C2C(=C1)N=C(O2)C3=C(C=CC(=C3)Cl)Cl,-4.9
CC1=C(C=CC=C1Cl)N=CC2=CC=CS2,-4.2
C1=CC=C(C=C1)C=NC2=CC(=CC=C2)Cl,-4.6
CC1=C(C=C(C=C1)NS(=O)(=O)N2CCCCC2)Cl,-4.4
COC1=CC=CC(=C1)/C=C/C2=CC=CC=C2,-4.8
C1=CC=C(C=C1)OCC2=CC=CC=C2Cl,-4.5
C1=CC=C(C=C1)C[C@@H](CC=O)C2=CC=CC=C2,-4.6
C1=CC=C(C=C1)COC2=C(C=C(C=C2)CCl)F,-4.7
CC1=CC(=CC=C1)C(=O)N(C2=CC=C(C=C2)Cl)O,-4.9
CC1=CC=CC=C1CCC2=CC=CC=C2,-4.5
CC1=CC=CC=C1C(=O)OC2=CC=C(C=C2)Cl,-4.4
C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)S,-4.2
CC1=CCC(CC1)OC(=O)C2=CC=CC=C2,-4.6
CCOC1=NN=C(C=C1)SCC2=CC=CC=C2,-4.5
C1=CC=C(C=C1)C2C(S2)C3=CC=CC=C3,-4.6
C1=CC=C(C=C1)S(=O)NC2=CC=C(C=C2)Cl,-4.6
CC1=CC=C(C=C1)N=CC2=CC=CS2,-4.0
CC1=CC(=CC=C1)OC(=O)C2=CC=CC=C2C,-4.7
CC1=CC(=CC=C1)C(=O)OC2=CC=CC(=C2)C,-5.0
CC1=CC(=CC=C1)C(=O)OC2=CC=C(C=C2)Cl,-4.7
C1=CC=C(C=C1)SC(=O)C2=CC=CS2,-4.0
C1CCC2C(C1)SC(S2)C3=CC=CC=C3,-4.6
C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)NO,-4.9
CC1=C(C=CC(=C1)OC)C#CC2=CC=CC=C2,-4.7
[2H]C([2H])(C1=CC=CC=C1)N(C([2H])([2H])C2=CC=CC=C2)N=O,-4.4
C1CCC(C1)CSC2=CC=CC=C2,-4.0
C1=CC=C(C=C1)C2=CC3=C(C=C2)OC(=N3)Cl,-4.8
C1=CC=C(C=C1)CCOC2=CC=C(C=C2)Cl,-4.4
C1=CC(=CC=C1CSC2=CC=C(C=C2)Br)F,-4.4
CC1=CC=C(C=C1)CSC2=CC=CC=C2,-4.4
C1CCC(CC1)SS(=O)C2CCCCC2,-4.2
CC1=CC=CC=C1OC(=O)C2=CC=CS2,-4.2
CC1=C(C=C(C=C1)CC(=O)C2=CC=CC=C2)C,-5.1
CC1=CC=C(C=C1)SC(=O)C2=CC=C(C=C2)F,-4.7
C1=CC(=CC(=C1)F)C2=NC3=C(O2)C=CC(=C3)Cl,-5.0
C1=CC(=CC=C1N=CC2=CC=C(S2)Cl)Cl,-4.3
C1=CC=C(C=C1)/C=C(\C#N)/C2=C(C=C(C=C2)F)F,-5.0
C#CC1=CC=CC=C1C=CC2=CC=CC=C2,-4.8
CC1(CC1C2=CC=CC=C2)C3=CC=CC=C3,-4.7
CC1=CC=CC=C1/C=C/C2=CC=CC=C2C,-4.8
C1=CC=C(C=C1)COC2=NC=CC(=C2)CBr,-4.2
C1=CC=C(C=C1)CCC2=CC=C(C=C2)N=C=O,-4.7
C1=CC=C(C=C1)CC(=O)OC2=CC=CC=C2Cl,-4.8
CC1=CC(=CC=C1)CC(C2=CC=CC=C2)Cl,-4.9
COC1=CC=CC(=C1)C=CC2=CC(=CC=C2)Cl,-5.1
C1=CC=C(C=C1)C=C(C#N)C2=CC=CC=C2,-4.8
CC1=CC=C(C=C1)CC(C2=CC=CC=C2)Cl,-4.8
C1[C@H]([C@@H]1C2=CC=CC=C2)C3=CC=CC=C3,-4.6
CC1=CC=C(C=C1)C#CC2=CSC(=N2)C,-4.2
CC1=CC=CC=C1OC(=O)C2=CC(=CC=C2)F,-4.7
C1=CC(=CC=C1C=[N+](C2=CC=C(C=C2)Cl)[O-])Cl,-4.6
COC1=CC=C(C=C1)CC(C2=CC=CC=C2)Cl,-4.7
CC1=CC=CC=C1C(=O)OC2=CC(=C(C=C2)Cl)Cl,-4.6
C1CCC(CC1)C=NC2CCCCC2,-4.1
C1=CC=C(C=C1)COC2=CC=CC(=C2)C(F)F,-4.7
C1CCC(=CC1)C#CC2=CCCCC2,-4.7
C1=CSC(=C1)C=NC2=CC(=C(C=C2)Cl)Cl,-4.2
CC1=CC=C(C=C1)/[N+](=C/C2=CC=C(C=C2)Br)/[O-],-4.6
C1=CC(=CC=C1/C=[N+](/C2=CC=C(C=C2)Cl)\[O-])F,-4.6
CC1=CC=C(C=C1)C2=NC3=C(O2)C=C(C=C3)C,-5.0
CC1=CC=C(C=C1)C=NC2=C(C=C(C=C2)F)F,-4.9
C1=CC=C(C=C1)NC(=S)C2=CC=CC=C2F,-4.6
CC1=CC=C(C=C1)C=NC2=CC(=C(C=C2)C)Cl,-4.6
C1=CC(=CC(=C1)F)CCC2=CC(=CC=C2)F,-4.7
CC1=C(N=NC(=N1)SCC2=CC=C(C=C2)Cl)C,-4.5
C1=CC=C(C=C1)COC2=C(C(C(C2(F)F)(F)F)(F)F)F,-4.8
CC1=C(C=CO1)SCC2=CC=CC=C2,-3.9
CC1=CC=C(C=C1)C(=O)CC2=CC=CC=C2Cl,-4.8
C1=CC=C(C=C1)CC(C2=CC=CC=C2)(Cl)Cl,-4.6
C1=CC=C(C=C1)/C=C(\C#N)/C2=CC=CC=C2F,-4.6
CC1=CC(=C(C=C1)C)C(=O)CC2=CC=CC=C2,-4.5
C1=CC(=CC(=C1)Cl)N=CC2=CC=C(C=C2)Cl,-4.6
CC1=CC(=CC=C1)N=CC2=CC=C(C=C2)Cl,-4.7
CC1=CC=C(C=C1)C=NC2=CC=C(C=C2)Cl,-4.4
C1=CSC=C1/C=C/C2=CSC=C2Br,-3.8
C1=CSC(=C1)/C=C/C2=C(C=CS2)Br,-3.7
C1=CSC(=C1)C(=NC2=CC=C(C=C2)Cl)Cl,-3.7
CC1=CC=C(C=C1)S(=O)CC2=CC=C(C=C2)Cl,-4.6
C1=CC=C(C=C1)COC2=C(C=CC(=C2)Cl)Cl,-4.1
C1=CC=C(C=C1)C2=NC3=C(O2)C=CC=C3Cl,-4.9
C1=CC=NC(=C1)C=CC2=C(C=C(C=C2)Cl)Cl,-4.4
C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2F,-4.6
C1=CC=C(C=C1)C(=O)OCC2=CC(=CC=C2)Cl,-4.6
C1CCC(C(CC1)Br)OCC2=CC=CC=C2,-4.0
C1CCC(CC1)N=CC2=CC=C(C=C2)Cl,-4.3
C1=CSC(=C1)CC(=O)OC2=CC=C(C=C2)Cl,-3.9
C1=CC(=CC(=C1)Cl)C(=O)N(C2=CC=C(C=C2)Cl)O,-4.8
CC1=CC=C(C=C1)O/C=C/C2=CC=CC=C2,-4.6
COC1=CC=C(C=C1)C=CC2=CC=CC=C2,-4.7
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2Br,-4.8
C1=CC=C(C=C1)C(=CC2=CC=C(C=C2)Cl)C#N,-4.2
C1=CSC(=C1)C=NC2=C(C=C(C=C2)Cl)Cl,-4.0
CC1=CC2=C(C=C1)N=C(O2)C3=CC=CC=C3Cl,-4.9
CC1=CC2=C(C=C1)N=C(O2)C3=CC=CC=C3F,-5.0
C1=CC(=C(C=C1C(=O)NC2=C(C=C(C=C2)F)F)Cl)Cl,-4.8
CC1=CC=C(C=C1)C(=O)OC2=CC=CC(=C2)C,-5.0
CC1=C(C=C(C=C1)OC(=O)C2=CC=CC=C2Cl)C,-5.0
CC1=C(C(=CC=C1)OC(=O)C2=CC=CC=C2F)C,-5.0
CC1=C(C(=CC=C1)C)OC(=O)C2=CC=C(C=C2)F,-4.6
CN(C1=CC=C(C=C1)OC)SC2=CC=CC=C2,-4.3
C1=CC=C(C=C1)NS(=O)C2=CC(=CC=C2)Cl,-4.4
CC1=CC=C(C=C1)/C=C(\C#N)/C2=CC=CC=C2,-4.9
C1CSC(=C/C=C/C2=CC=CC=C2)SC1,-4.2
C1=CC=C(C=C1)/C=C(\C#N)/C2=C(C=CC=C2F)F,-4.7
C1CCCN(CC1)/N=C/C2=C(C=C(C=C2)Cl)Cl,-4.3
CC1=CC=C(C=C1)C(=O)C(C2=CC=CC=C2)Cl,-4.9
CC1CCC(CC1)OC(=O)CC2=CC=CC=C2,-3.9
CC1=CC=C(C=C1)OCC2=CC(=CC=C2)Cl,-4.6
CC1=CC(=CC=C1)C(=O)OC2CCCC2,-4.4
CC1=C(C(=CC=C1)OC(=O)C2=CC=C(C=C2)Cl)C,-5.0
CC1=CC=C(C=C1)OC(C)C2=CC=CC=C2,-4.6
COC1=CC=C(C=C1)CCC2=CC=C(C=C2)Cl,-4.7
CC1=CC=C(C=C1)S(=O)OC2CCCCC2,-4.5
CC1=CC=C(C=C1)SNC2=CC=CC=C2,-4.5
C1=CSC(=C1)C=NC2=CC=C(C=C2)F,-4.1
CC1=C(C=C(C=C1)Cl)N=CC2=CC=CS2,-4.1
C1=CSC=C1SSC2=CSC=C2,-3.0
C1=CC=C(C=C1)/C=C(\C#N)/C2=CC=CS2,-4.3
C1=CC=NC(=C1)/C=C/C2=C(C=C(C=C2)Cl)Cl,-4.4
CC1CC(N=C(O1)/C=C/C2=CC(=CC=C2)Cl)(C)C,-4.9
C1=CSC(=C1)C#CC2=CC=C(C=C2)Cl,-4.1
C1CC=C(C1)C2=CC3=CC=CC=C3S2,-4.4
C1CCC(C1)C#CC2=CC=CC=C2,-4.4
CC1=C(C=CC(=C1)Cl)OCC2=CC=CC=C2,-4.5
CC1=NC(=CC=C1)C#CC2=CC(=CC=C2)Cl,-4.8
C1=CC=C(C(=C1)C#CC2=CC=C(C=C2)F)F,-5.0
C1=CC=C(C=C1)C2=CC3=C(C=C2)C=CS3,-4.7
CC1=CC=C(O1)CSC2=CC=CC=C2,-4.1
CC1=CC=C(C=C1)C=CC2=CC=CC=C2C#C,-5.0
C1=CSC=C1C#CC2=C(C=CS2)Br,-3.7
C1=CC(=CC(=C1)Cl)SCC2=CC=C(C=C2)F,-4.2
CC1=CC(=CC=C1)NC(=S)C2=CC=CC=C2,-4.7
C1=CC=C(C=C1)C(C(C2=CC=CC=C2)(F)F)F,-4.6
C1=CC=C(C=C1)OCC2=CSC=C2,-3.7
C1=CC=C(C=C1)C=CC2=CC=CC=C2N=O,-5.0
C1CCC(C1)C=NCC2=CC=CC=C2,-4.0
CC1=CC(=C(C=C1)C2=NC3=C(O2)C=CC(=C3)C)C,-5.3
CC1=CC(=C(C=C1)C2=NC3=C(O2)C=C(C=C3)C)C,-5.2
C1CCCC2(CC1)OC(=NO2)C3=CC=CC=C3,-4.8
C1=CC=C(C=C1)CSC2=NC=C(S2)CCl,-4.0
C1CC=C(C1)C2=CC3=CC=CC=C3C2,-4.6
C1=CC=C(C=C1)OC(=O)C2=C(C=CC=C2F)F,-4.4
CC1=CC(=CC(=C1)OC(=O)C2CCC2)C,-4.3
CC1=CC(=CC(=C1Cl)C)OC(=O)N2CCCCC2,-4.8
C1=CC=C(C=C1)C(=O)OC2=C(C(=CC=C2)Cl)Cl,-4.7
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)F)F)F,-5.1
CC(=NC1=CC=C(C=C1)Cl)C2=CC=CS2,-4.2
CC1=C(C=CC(=C1)Cl)N=CC2=CC=CC=C2,-4.6
CC1=C(C(=CC=C1)C)CC(=O)C2=CC=CC=C2,-4.7
C1CCC(C1)CCC2=CC=CC=C2,-4.2
C1=COC(=C1)/C=C/C2=C(C(=C(C(=C2F)F)F)F)F,-4.9
CC1=C(C=CS1)SSC2=CC=CS2,-3.4
CC1=C(C=CS1)SSC2=CSC=C2,-3.3
CC1=CC(=CC=C1)C(=O)OC2=CC(=CC(=C2)C)C,-5.1
CC1=CC(=C(C=C1)OC(=O)C2CCCCC2)C,-4.7
CC1=CC2=C(C=C1C)OC(=N2)C3=CC=CC=C3,-4.9
C1=CC=C(C=C1)/C=C(/C2=CC=CC=C2)\F,-5.0
C1CCC(CC1)C(=O)SC2=CC=CC=C2,-4.2
CC1=CSC(=N1)C#CC2=CC=CC=C2,-4.3
CC1=CC(=CC(=C1O)F)/C=C/C2=CC=CS2,-4.6
COC1=CC=C(C=C1)C=CC2=CC=C(C=C2)OC,-4.4
COC1=CC=C(C=C1)C(=O)SC2=CC=CC=C2,-4.4
C1=CC=C(C=C1)OCC2=CC=C(C=C2)CCl,-4.5
CC1=CC=CC=C1OC(=O)C2=CC=CC=C2F,-4.6
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2Cl)F,-4.5
C1=CC=C(C(=C1)OC(=O)C2=CC=C(C=C2)F)Cl,-4.5
CC1=CC=CC=C1OC(=O)C2=CC=C(C=C2)F,-4.8
C1=CC=C(C(=C1)OC(=O)C2=CC(=CC=C2)F)Cl,-4.5
CC1=CC(=CC=C1)OC(=O)C2=CC=CC=C2F,-4.9
C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)Cl)F,-4.5
CC1=CC(=CC=C1)OC(=O)C2=CC(=CC=C2)F,-4.9
CC1=CC(=CC=C1)OC(=O)C2=CC=CC=C2Cl,-4.6
C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)Cl)Cl,-4.3
CC1=CN=C(C=C1)OC(=O)C2=CC(=C(C=C2)C)C,-4.8
C1CCC(CC1)SC(=O)C2=CC=CC=C2,-4.4
CC1=CC=C(C=C1)C=CC2=CC=C(C=C2)C=O,-4.7
CC1=CC=CC=C1C(=O)OC2CCCC2,-4.1
C1CN2CCC1C(=C2)C3=CC4=CC=CC=C4S3,-4.6
C1CC2=CC=CC=C2C3C1C3C4=CSC=C4,-4.4
C1CCC(CC1)CCC2=C(OC(=O)C=C2)Cl,-4.6
